NO,JUDUL BERITA,ISI BERITA,KATEGORI,TANGGAL UPLOAD,TAUTAN,clean_text,Cluster
164,"Presiden Korsel Puji Kepemimpinan Prabowo, Capai Kepuasan Publik 80%","Presiden Korea Selatan menyampaikan pujian terbuka terhadap kepemimpinan Presiden Prabowo Subianto yang dinilai telah mencapai tingkat kepuasan publik hingga 80% dalam setahun masa jabatannya. Pujian ini disampaikan di sela-sela KTT APEC, menyoroti stabilitas politik dan ekonomi Indonesia. Pengakuan internasional ini menjadi indikator positif bagi citra Indonesia di mata dunia. Hubungan bilateral kedua negara semakin erat.",Internasional & Politik,2025-11-01 00:00:00,"Presiden Korsel Puji Kepemimpinan Prabowo, Capai Kepuasan Publik hingga 80%",presiden korea selatan sampai puji buka pimpin presiden prabowo subianto nilai capai tingkat puas publik hingga tahun masa jabat puji sampai sela sela ktt apec sorot stabilitas politik ekonomi indonesia aku internasional jadi indikator positif citra indonesia mata dunia hubung bilateral dua negara makin erat,1
165,"Wapres AS Kunjungi Filipina, Bahas Ketegangan Laut Cina Selatan","Wakil Presiden Amerika Serikat melakukan kunjungan resmi ke Filipina untuk membahas peningkatan kerja sama pertahanan dan keamanan maritim. Isu utama yang dibahas adalah meningkatnya ketegangan di Laut Cina Selatan, terutama terkait konflik teritorial dengan Tiongkok. Kunjungan ini memperkuat aliansi AS-Filipina di tengah dinamika geopolitik Asia Tenggara. Kawasan ini menjadi titik fokus strategi Indo-Pasifik AS.",Internasional & Politik,31 Oktober 2025,"Wapres AS Kunjungi Filipina, Bahas Ketegangan Laut Cina Selatan",wakil presiden amerika serikat laku kunjung resmi filipina bahas tingkat kerja sama tahan aman maritim isu utama bahas tingkat tegang laut cina selatan utama kait konflik teritorial tiongkok kunjung kuat aliansi filipina tengah dinamika geopolitik asia tenggara kawasan jadi titik fokus strategi indo pasifik,5
166,WHO Peringatkan Kasus Demam Berdarah Global Naik Akibat Perubahan Iklim,"Organisasi Kesehatan Dunia (WHO) mengeluarkan peringatan bahwa kasus demam berdarah (Dengue Fever) secara global mengalami peningkatan tajam. Kenaikan ini disebabkan oleh meluasnya wilayah penyebaran nyamuk akibat perubahan iklim global. WHO mendesak negara-negara tropis, termasuk Indonesia, untuk memperkuat sistem surveilans dan pencegahan. Peningkatan suhu Bumi berisiko memperburuk krisis kesehatan ini.",Internasional & Kesehatan,2025-11-02 00:00:00,WHO Peringatkan Kasus Demam Berdarah Global Naik Akibat Perubahan Iklim,organisasi sehat dunia who keluar ingat kasus demam darah dengue fever global alami tingkat tajam naik sebab luas wilayah sebar nyamuk akibat ubah iklim global who desak negara negara tropis masuk indonesia kuat sistem surveilans cegah tingkat suhu bumi risiko buruk krisis sehat,5
167,Israel Lakukan Serangan Udara Intensif di Gaza Selatan,"Militer Israel dilaporkan melakukan serangkaian serangan udara yang intensif di wilayah Gaza Selatan, termasuk menargetkan infrastruktur yang diduga milik kelompok Hamas. Serangan ini terjadi di tengah upaya mediasi internasional untuk gencatan senjata. Korban sipil terus bertambah, memicu kecaman dari berbagai negara, termasuk Indonesia. Situasi kemanusiaan di Gaza semakin memburuk.",Internasional & Konflik,2025-11-01 00:00:00,Israel Lakukan Serangan Udara Intensif di Gaza Selatan,militer israel lapor laku rangkai serang udara intensif wilayah gaza selatan masuk target infrastruktur duga milik kelompok hamas serang jadi tengah upaya mediasi internasional gencat senjata korban sipil terus tambah picu kecam bagai negara masuk indonesia situasi manusia gaza makin buruk,1
168,Negara-negara ASEAN Sepakati Kerangka Kerja Ekonomi Digital Regional,Negara-negara anggota ASEAN menyepakati Kerangka Kerja Ekonomi Digital Regional yang bertujuan memfasilitasi perdagangan elektronik lintas batas. Kesepakatan ini mencakup harmonisasi regulasi dan perlindungan data untuk menciptakan ekosistem digital yang aman. Implementasi kerangka kerja ini diharapkan dapat mendorong pertumbuhan ekonomi digital di Asia Tenggara. Indonesia menjadi salah satu inisiator utama kesepakatan ini.,Internasional & Ekonomi,31 Oktober 2025,Negara-negara ASEAN Sepakati Kerangka Kerja Ekonomi Digital Regional,negara negara anggota asean pakat kerangka kerja ekonomi digital regional tuju fasilitas dagang elektronik lintas batas sepakat cakup harmonisasi regulasi lindung data cipta ekosistem digital aman implementasi kerangka kerja harap dorong tumbuh ekonomi digital asia tenggara indonesia jadi salah satu inisiator utama sepakat,5
169,Tiongkok Luncurkan Satelit Observasi Bumi Resolusi Tinggi Terbaru,"Tiongkok berhasil meluncurkan satelit observasi bumi resolusi tinggi terbarunya dari pusat peluncuran di Jiuquan. Satelit ini akan digunakan untuk pemantauan lingkungan, pertanian, dan penanggulangan bencana alam. Peluncuran ini menegaskan kemajuan Tiongkok di sektor antariksa. Pengembangan teknologi luar angkasa menjadi prioritas strategis Tiongkok.",Internasional & Teknologi,2025-11-02 00:00:00,Tiongkok Luncurkan Satelit Observasi Bumi Resolusi Tinggi Terbaru,tiongkok hasil luncur satelit observasi bumi resolusi tinggi baru pusat luncur jiuquan satelit guna pantau lingkung tani tanggulang bencana alam luncur tegas maju tiongkok sektor antariksa kembang teknologi luar angkasa jadi prioritas strategis tiongkok,7
170,AS dan Uni Eropa Bahas Tarif Impor Baja dan Aluminium Global,Amerika Serikat dan Uni Eropa (UE) mengadakan pertemuan tingkat tinggi untuk membahas penyelesaian sengketa tarif impor baja dan aluminium. Kedua pihak berupaya mencari kesepakatan yang dapat menstabilkan pasar global tanpa merugikan industri masing-masing. Indonesia sebagai produsen baja juga memantau ketat hasil negosiasi ini. Kesepakatan diharapkan menghindari perang dagang lebih lanjut.,Internasional & Ekonomi,2025-11-01 00:00:00,AS dan Uni Eropa Bahas Tarif Impor Baja dan Aluminium Global,amerika serikat uni eropa ada temu tingkat tinggi bahas selesai sengketa tarif impor baja aluminium dua pihak upaya cari sepakat stabil pasar global rugi industri masing masing indonesia produsen baja pantau ketat hasil negosiasi sepakat harap hindar perang dagang lebih lanjut,9
171,"Presiden Xi Jinping Bertemu Prabowo, Perkuat Kemitraan Strategis Indonesia-Tiongkok","Presiden Tiongkok Xi Jinping mengadakan pertemuan bilateral dengan Presiden Prabowo Subianto di sela-sela KTT APEC. Pertemuan ini fokus pada penguatan kemitraan strategis komprehensif antara kedua negara. Kedua pemimpin membahas percepatan investasi Tiongkok di Indonesia, terutama pada proyek infrastruktur dan hilirisasi. Hubungan kedua negara semakin mendalam di berbagai sektor.",Internasional & Politik,2025-11-01 00:00:00,Momen Prabowo-Xi Jinping Saling Jabat Tangan Erat saat Bertemu di KTT APEC,presiden tiongkok jinping ada temu bilateral presiden prabowo subianto sela sela ktt apec temu fokus kuat mitra strategis komprehensif dua negara dua pimpin bahas cepat investasi tiongkok indonesia utama proyek infrastruktur hilir hubung dua negara makin dalam bagai sektor,1
172,Demonstrasi Besar-besaran di London Tuntut Gencatan Senjata di Gaza,"Ratusan ribu orang melakukan demonstrasi besar-besaran di London, Inggris, menuntut segera dilakukannya gencatan senjata di Gaza. Para demonstran menyerukan diakhirinya kekerasan dan meminta pemerintah Inggris mengambil peran lebih aktif dalam konflik. Aksi massa ini menunjukkan meningkatnya tekanan publik global terhadap isu kemanusiaan di Palestina. Polisi dikerahkan untuk menjaga ketertiban demonstrasi.",Internasional & Sosial,2025-11-02 00:00:00,Demonstrasi Besar-besaran di London Tuntut Gencatan Senjata di Gaza,ratus ribu orang laku demonstrasi besar besar london inggris tuntut segera laku gencat senjata gaza demonstran seru akhir keras minta perintah inggris ambil peran lebih aktif konflik aksi massa tunjuk tingkat tekan publik global isu manusia palestina polisi kerah jaga tertib demonstrasi,0
173,"Vietnam Laporkan Kasus Flu Burung Baru, Perkuat Pengawasan Ternak","Otoritas kesehatan Vietnam melaporkan adanya kasus baru Flu Burung (H5N1) pada peternakan unggas di wilayah utara. Pemerintah segera mengambil langkah karantina dan pemusnahan ternak untuk mencegah penyebaran virus. Peringatan dini juga dikeluarkan ke negara-negara tetangga, termasuk Indonesia. Vietnam memperketat pengawasan lalu lintas ternak.",Internasional & Kesehatan,31 Oktober 2025,"Vietnam Laporkan Kasus Flu Burung Baru, Perkuat Pengawasan Ternak",otoritas sehat vietnam lapor ada kasus baru flu burung terna unggas wilayah utara perintah segera ambil langkah karantina musnah ternak cegah sebar virus ingat dini keluar negara negara tetangga masuk indonesia vietnam ketat awas lalu lintas ternak,5
174,PBB Minta Bantuan Dana Segera untuk Korban Banjir Bandang Pakistan,"Perserikatan Bangsa-Bangsa (PBB) mengeluarkan permohonan bantuan dana darurat kepada komunitas internasional untuk membantu korban banjir bandang di Pakistan. Banjir telah merusak infrastruktur vital dan mengancam jutaan jiwa. PBB menekankan pentingnya respons cepat untuk menyediakan makanan, air bersih, dan tempat tinggal sementara. Bencana ini adalah dampak nyata dari krisis iklim.",Internasional & Bencana,2025-11-01 00:00:00,PBB Minta Bantuan Dana Segera untuk Korban Banjir Bandang Pakistan,serikat bangsa bangsa pbb keluar mohon bantu dana darurat komunitas internasional bantu korban banjir bandang pakistan banjir rusak infrastruktur vital ancam juta jiwa pbb tekan penting respons cepat sedia makan air bersih tempat tinggal bencana dampak nyata krisis iklim,0
175,"Raja Charles III Kunjungi Kenya, Bahas Warisan Kolonial Inggris","Raja Charles III dari Inggris memulai kunjungan kenegaraan ke Kenya, yang merupakan negara bekas koloni Inggris. Kunjungan ini fokus pada upaya rekonsiliasi dan pembahasan isu-isu terkait warisan masa kolonial. Raja Charles diharapkan menyampaikan penyesalan atas kekejaman masa lalu. Kunjungan ini penting untuk mempererat hubungan Inggris dengan negara-negara Persemakmuran.",Internasional & Politik,30 Oktober 2025,"Raja Charles III Kunjungi Kenya, Bahas Warisan Kolonial Inggris",raja charles iii inggris mulai kunjung negara kenya rupa negara bekas koloni inggris kunjung fokus upaya rekonsiliasi bahas isu isu kait waris masa kolonial raja charles harap sampai sesal atas kejam masa lalu kunjung penting erat hubung inggris negara negara makmur,5
176,IMF Prediksi Pertumbuhan Ekonomi Asia Tenggara Lebih Kuat di 2026,"Dana Moneter Internasional (IMF) memprediksi pertumbuhan ekonomi di kawasan Asia Tenggara akan menjadi lebih kuat pada tahun 2026, didorong oleh pemulihan pariwisata dan peningkatan investasi. Indonesia dan Vietnam disebut sebagai motor utama pertumbuhan di kawasan ini. IMF menyarankan negara-negara ASEAN untuk terus menjaga stabilitas fiskal dan moneter. Prospek ekonomi regional dinilai cerah.",Internasional & Ekonomi,2025-11-02 00:00:00,IMF Prediksi Pertumbuhan Ekonomi Asia Tenggara Lebih Kuat di 2026,dana moneter internasional imf prediksi tumbuh ekonomi kawasan asia tenggara jadi lebih kuat tahun dorong pulih pariwisata tingkat investasi indonesia vietnam sebut motor utama tumbuh kawasan imf saran negara negara asean terus jaga stabilitas fiskal moneter prospek ekonomi regional nilai cerah,5
177,Jepang Perkuat Kerja Sama Keamanan Siber dengan Negara-negara ASEAN,"Jepang mengumumkan akan memperkuat kerja sama keamanan siber dengan negara-negara anggota ASEAN, termasuk Indonesia. Kerja sama ini mencakup pelatihan ahli siber dan transfer teknologi untuk menghadapi ancaman peretasan global. Inisiatif ini penting untuk melindungi infrastruktur kritis digital di kawasan. Peningkatan keamanan siber menjadi prioritas bersama.",Internasional & Teknologi,31 Oktober 2025,Jepang Perkuat Kerja Sama Keamanan Siber dengan Negara-negara ASEAN,jepang umum kuat kerja sama aman siber negara negara anggota asean masuk indonesia kerja sama cakup latih ahli siber transfer teknologi hadap ancam retas global inisiatif penting lindung infrastruktur kritis digital kawasan tingkat aman siber jadi prioritas sama,5
178,Negara-negara Afrika Desak Reformasi Struktur Utang Global di PBB,"Sejumlah pemimpin negara-negara Afrika bersatu mendesak reformasi struktur utang global di forum Perserikatan Bangsa-Bangsa (PBB). Mereka menuntut perlakuan yang lebih adil dari kreditur internasional, terutama dalam menghadapi dampak krisis iklim. Negara-negara berkembang meminta penghapusan atau restrukturisasi utang yang tidak berkelanjutan. Desakan ini didukung oleh Indonesia sebagai representasi negara berkembang.",Internasional & Ekonomi,30 Oktober 2025,Negara-negara Afrika Desak Reformasi Struktur Utang Global di PBB,jumlah pimpin negara negara afrika satu desak reformasi struktur utang global forum serikat bangsa bangsa pbb tuntut laku lebih adil kreditur internasional utama hadap dampak krisis iklim negara negara kembang minta hapus restrukturisasi utang lanjut desa dukung indonesia representasi negara kembang,5
179,Warga Sipil Tewas dalam Serangan Militer di Wilayah Timur Kongo,Konflik bersenjata di wilayah timur Republik Demokratik Kongo (RDC) kembali memakan korban jiwa dari kalangan warga sipil. Kelompok militan disinyalir bertanggung jawab atas serangan yang menargetkan desa-desa. PBB mengecam keras kekerasan ini dan mendesak pasukan perdamaian untuk bertindak lebih efektif. Krisis kemanusiaan di Kongo terus memburuk.,Internasional & Konflik,2025-11-02 00:00:00,Warga Sipil Tewas dalam Serangan Militer di Wilayah Timur Kongo,konflik senjata wilayah timur republik demokratik kongo rdc makan korban jiwa kalang warga sipil kelompok militan sinyalir tanggung jawab atas serang target desa desa pbb kecam keras keras desak pasu damai tindak lebih efektif krisis manusia kongo terus buruk,0
180,Kanada Umumkan Dukungan Dana untuk Proyek Pendidikan Anak di Indonesia,Pemerintah Kanada mengumumkan alokasi dukungan dana baru untuk proyek-proyek peningkatan kualitas pendidikan anak usia dini (PAUD) di beberapa provinsi di Indonesia. Dukungan ini merupakan bagian dari komitmen bilateral Kanada dalam pembangunan SDM. Dana akan dikelola melalui kerja sama dengan kementerian terkait dan lembaga non-pemerintah. Kolaborasi ini penting untuk meningkatkan kualitas PAUD.,Internasional & Pendidikan,2025-11-01 00:00:00,Kanada Umumkan Dukungan Dana untuk Proyek Pendidikan Anak di Indonesia,perintah kanada umum alokasi dukung dana baru proyek proyek tingkat kualitas didik anak usia dini paud beberapa provinsi indonesia dukung rupa bagi komitmen bilateral kanada bangun sdm dana kelola lalu kerja sama menteri kait lembaga non perintah kolaborasi penting tingkat kualitas paud,2
181,"Megawati Usulkan Konferensi Asia–Afrika Plus, Tekankan Solidaritas Global","Megawati Soekarnoputri mengusulkan diadakannya kembali Konferensi Asia–Afrika Plus, yang diperluas dengan melibatkan lebih banyak negara. Usulan ini bertujuan menghidupkan kembali semangat Bandung dan memperkuat solidaritas negara-negara Selatan. Megawati menekankan pentingnya kolaborasi antar-negara untuk menghadapi tantangan geopolitik dan ekonomi global. Usulan ini disampaikan dalam peringatan KAA.",Internasional & Politik,2025-11-02 00:00:00,"Megawati Usulkan Konferensi Asia–Afrika Plus, untuk Apa?",megawati soekarnoputri usul ada konferensi asia afrika plus luas libat lebih banyak negara usul tuju hidup semangat bandung kuat solidaritas negara negara selatan megawati tekan penting kolaborasi antar negara hadap tantang geopolitik ekonomi global usul sampai ingat kaa,5
182,Uni Eropa Tetapkan Aturan Baru Peringatan Kesehatan Pada Produk Makanan Cepat Saji,Uni Eropa (UE) menetapkan aturan baru yang mewajibkan penempatan peringatan kesehatan yang jelas pada kemasan produk makanan cepat saji dengan kandungan gula dan garam tinggi. Kebijakan ini bertujuan untuk memerangi epidemi obesitas dan penyakit tidak menular. Aturan ini akan berdampak pada produsen makanan global. Langkah ini diharapkan meningkatkan kesadaran konsumen.,Internasional & Kesehatan,31 Oktober 2025,Uni Eropa Tetapkan Aturan Baru Peringatan Kesehatan Pada Produk Makanan Cepat Saji,uni eropa tetap atur baru wajib tempat ingat sehat jelas kemas produk makan cepat saji kandung gula garam tinggi bijak tuju rang epidemi obesitas sakit tular atur dampak produsen makan global langkah harap tingkat sadar konsumen,9
183,Tiga Hakim Dihukum Karena Terima Suap dari Kartel Narkoba Meksiko,Tiga hakim federal di Amerika Serikat dijatuhi hukuman penjara karena terbukti menerima suap dari Kartel Narkoba Meksiko. Skandal ini mengguncang sistem peradilan AS. Hukuman berat ini menunjukkan komitmen AS membersihkan lembaga penegak hukum dari korupsi. Kasus ini menyoroti jangkauan pengaruh kartel narkoba.,Internasional & Hukum,2025-11-01 00:00:00,Tiga Hakim Dihukum Karena Terima Suap dari Kartel Narkoba Meksiko,tiga hakim federal amerika serikat jatuh hukum penjara bukti terima suap kartel narkoba meksiko skandal guncang sistem adil hukum berat tunjuk komitmen bersih lembaga tegak hukum korupsi kasus sorot jangkau pengaruh kartel narkoba,8
184,IMF Peringatkan Kenaikan Utang Publik Global Menghambat Pembangunan,"Dana Moneter Internasional (IMF) mengeluarkan peringatan mengenai kenaikan utang publik global yang dapat menghambat upaya pembangunan dan investasi hijau. IMF mendesak negara-negara, terutama yang berpenghasilan rendah, untuk melakukan konsolidasi fiskal. Indonesia diminta menjaga rasio utang tetap terkendali. Peringatan ini penting untuk menjaga stabilitas ekonomi jangka panjang.",Internasional & Ekonomi,30 Oktober 2025,IMF Peringatkan Kenaikan Utang Publik Global Menghambat Pembangunan,dana moneter internasional imf keluar ingat kena naik utang publik global hambat upaya bangun investasi hijau imf desak negara negara utama hasil rendah laku konsolidasi fiskal indonesia minta jaga rasio utang tetap kendali ingat penting jaga stabilitas ekonomi jangka panjang,5
185,Korea Utara Luncurkan Rudal Balistik Terbaru ke Laut Jepang,Militer Korea Utara dilaporkan meluncurkan rudal balistik terbaru ke arah Laut Jepang. Peluncuran ini melanggar resolusi Dewan Keamanan PBB dan meningkatkan ketegangan militer di Semenanjung Korea. Korea Selatan dan Jepang mengecam keras tindakan provokatif ini. Komunitas internasional mendesak Korut untuk kembali ke meja perundingan denuklirisasi.,Internasional & Pertahanan,2025-11-02 00:00:00,Korea Utara Luncurkan Rudal Balistik Terbaru ke Laut Jepang,militer korea utara lapor luncur rudal balistik baru arah laut jepang luncur langgar resolusi dewan aman pbb tingkat tegang militer semenanjung korea korea selatan jepang kecam keras tindak provokatif komunitas internasional desak korut meja runding denuklirisasi,1
186,Rektor Universitas di Malaysia Diberhentikan Karena Kasus Plagiarisme,Rektor sebuah universitas terkemuka di Malaysia diberhentikan dari jabatannya setelah terbukti melakukan praktik plagiarisme dalam karya ilmiahnya. Kasus ini memicu perdebatan tentang integritas akademik di lingkungan pendidikan tinggi. Pihak universitas berkomitmen untuk menjaga standar etika dan kualitas riset. Kejadian ini menjadi pelajaran penting bagi dunia akademik di Asia Tenggara.,Internasional & Pendidikan,31 Oktober 2025,Rektor Universitas di Malaysia Diberhentikan Karena Kasus Plagiarisme,rektor buah universitas muka malaysia henti jabat bukti laku praktik plagiarisme karya ilmiah kasus picu debat integritas akademik lingkung didik tinggi pihak universitas komitmen jaga standar etika kualitas riset jadi jadi ajar penting dunia akademik asia tenggara,7
187,Presiden AS Teken UU Subsidi Chip Semikonduktor untuk Tingkatkan Daya Saing,Presiden Amerika Serikat menandatangani undang-undang yang mengalokasikan subsidi besar untuk industri chip semikonduktor di dalam negeri. Kebijakan ini bertujuan untuk mengurangi ketergantungan pada Tiongkok dan meningkatkan daya saing teknologi AS. UU ini memicu respons dari negara produsen chip lainnya. Indonesia juga didorong untuk mengambil peran dalam rantai pasok semikonduktor global.,Internasional & Teknologi,30 Oktober 2025,Presiden AS Teken UU Subsidi Chip Semikonduktor untuk Tingkatkan Daya Saing,presiden amerika serikat menandatangani undang undang alokasi subsidi besar industri chip semikonduktor negeri bijak tuju kurang gantung tiongkok tingkat daya saing teknologi picu respons negara produsen chip lain indonesia dorong ambil peran rantai pasok semikonduktor global,9
188,UNICEF: Jutaan Anak di Yaman Alami Gizi Buruk Akibat Konflik,Badan Anak PBB (UNICEF) melaporkan bahwa jutaan anak di Yaman menderita gizi buruk parah akibat konflik berkepanjangan dan krisis kemanusiaan. UNICEF meminta peningkatan akses bantuan makanan dan obat-obatan ke wilayah-wilayah yang sulit dijangkau. Krisis Yaman menjadi salah satu bencana kemanusiaan terburuk di dunia. Bantuan internasional sangat dibutuhkan segera.,Internasional & Sosial,2025-11-01 00:00:00,UNICEF: Jutaan Anak di Yaman Alami Gizi Buruk Akibat Konflik,badan anak pbb unicef lapor juta anak yaman derita gizi buruk parah akibat konflik panjang krisis manusia unicef minta tingkat akses bantu makan obat obat wilayah wilayah sulit jangkau krisis yaman jadi salah satu bencana manusia buruk dunia bantu internasional sangat butuh segera,0
189,Negara G7 Sepakati Pembatasan Harga Minyak Rusia Diperketat,Kelompok negara G7 menyepakati pengetatan mekanisme pembatasan harga (price cap) terhadap ekspor minyak mentah Rusia. Keputusan ini bertujuan menekan pendapatan Rusia yang digunakan untuk mendanai perang di Ukraina. Pengetatan sanksi ini berpotensi memicu gejolak harga energi global. Indonesia perlu mengantisipasi dampaknya terhadap harga BBM domestik.,Internasional & Ekonomi,31 Oktober 2025,Negara G7 Sepakati Pembatasan Harga Minyak Rusia Diperketat,kelompok negara pakat ketat mekanisme batas harga price cap ekspor minyak mentah rusia putus tuju tekan dapat rusia guna dana perang ukraina ketat sanksi potensi picu gejolak harga energi global indonesia perlu antisipasi dampak harga bbm domestik,9
190,Filipina-Tiongkok Sepakat Lanjutkan Dialog Damai Laut Cina Selatan,Kementerian Luar Negeri Filipina dan Tiongkok sepakat untuk melanjutkan dialog damai guna meredakan ketegangan di Laut Cina Selatan. Kesepakatan ini dicapai setelah serangkaian insiden di perairan yang disengketakan. Dialog diharapkan dapat menemukan solusi jangka panjang yang menguntungkan semua pihak. Kedua negara berkomitmen mencegah eskalasi konflik militer.,Internasional & Politik,2025-11-02 00:00:00,Filipina-Tiongkok Sepakat Lanjutkan Dialog Damai Laut Cina Selatan,menteri luar negeri filipina tiongkok sepakat lanjut dialog damai reda tegang laut cina selatan sepakat capai rangkai insiden air sengketa dialog harap temu solusi jangka panjang untung semua pihak dua negara komitmen cegah eskalasi konflik militer,0
191,"Drama Yai Mim Vs Sahara, Dari Lahan Parkir Merembet ke Video Porno","Kasus Yai Mim dan Sahara menjadi heboh setelah konflik perebutan lahan parkir merembet ke penyebaran video asusila yang melibatkan keduanya. Polisi telah menangani kasus ini, termasuk dugaan penyebaran konten pornografi yang melanggar UU ITE. Kasus ini mencerminkan konflik kepentingan yang berujung pada pelanggaran hukum serius. Perkembangan kasus ini terus menjadi perhatian publik di media sosial.",Hukum & Kriminal,2025-11-02 00:00:00,"Drama Yai Mim Vs Sahara, Dari Lahan Parkir Merembet ke Video Porno",kasus yai mim sahara jadi heboh konflik rebut lahan parkir rembet sebar video asusila libat dua polisi tangan kasus masuk duga sebar konten pornografi langgar ite kasus cermin konflik penting ujung langgar hukum serius kembang kasus terus jadi perhati publik media sosial,8
192,"Budi Arie Ngaku Bakal Gabung Partai Gerindra, Ungkap Telepon Jokowi","Menteri Komunikasi dan Informatika (Menkominfo), Budi Arie Setiadi, secara terbuka menyatakan keinginannya untuk bergabung dengan Partai Gerindra. Pengakuan ini disampaikan dalam Kongres Projo dan menjadi kejutan politik yang heboh. Budi Arie juga mengungkapkan bahwa ia sempat menelepon Presiden Jokowi untuk menjelaskan alasannya dan menghilangkan wajah Jokowi dari logo Projo. Pernyataan ini memperkuat konsolidasi politik menjelang Pilkada.",Politik,2025-11-01 00:00:00,Budi Arie Ngaku Bakal Gabung Partai Gerindra,menteri komunikasi informatika menkominfo budi arie setiadi buka nyata ingin gabung partai gerindra aku sampai kongres projo jadi kejut politik heboh budi arie ungkap sempat telepon presiden jokowi jelas alas hilang wajah jokowi logo projo nyata kuat konsolidasi politik jelang pilkada,1
193,"Polisi Usut Penembakan, Bukan Pengeroyokan, dalam Insiden di Tanah Abang","Kepolisian menegaskan bahwa insiden kekerasan yang terjadi di Tanah Abang, Jakarta Pusat, merupakan kasus penembakan, bukan pengeroyokan seperti yang ramai diberitakan. Penegasan ini dikeluarkan setelah hasil olah TKP dan pemeriksaan saksi menguatkan dugaan penggunaan senjata api. Polisi masih memburu pelaku penembakan yang melukai beberapa korban. Klarifikasi ini penting untuk meluruskan informasi yang beredar di masyarakat.",Hukum & Kriminal,2025-11-01 00:00:00,"Soal Insiden di Tanah Abang, Polisi: Penembakan, Bukan Pengeroyokan",polisi tegas insiden keras jadi tanah abang jakarta pusat rupa kasus tembak bukan keroyok ramai berita tegas keluar hasil olah tkp periksa saksi kuat duga guna senjata api polisi buru laku tembak luka beberapa korban klarifikasi penting lurus informasi edar masyarakat,4
194,"Membludak di CFD, Lansia Bikin Kartu Gratis Transum Jakarta Tak Bisa Diwakili",Antusiasme lansia untuk mendapatkan Kartu Gratis Transportasi Umum (Transum) Jakarta membludak di kawasan Car Free Day (CFD). Penyelenggara menegaskan bahwa pendaftaran kartu ini tidak bisa diwakilkan dan harus dilakukan langsung oleh lansia yang bersangkutan. Aturan ini sempat menimbulkan antrean panjang dan keramaian. Program ini bertujuan memberikan fasilitas mobilitas gratis bagi warga lanjut usia.,Sosial & Transportasi,2025-11-02 00:00:00,"Membludak di CFD, Lansia Bikin Kartu Gratis Transum Jakarta Tak Bisa Diwakili",antusiasme lansia dapat kartu gratis transportasi umum transum jakarta membludak kawasan car free day cfd selenggara tegas daftar kartu wakil laku langsung lansia sangkut atur sempat timbul antre panjang ramai program tuju beri fasilitas mobilitas gratis warga lanjut usia,9
195,"Suami Istri dan 2 Anak Tewas Tertimbun Longsor, Hanya Sisakan Satu Anak Selamat","Tragedi longsor di Trenggalek menewaskan satu keluarga yang terdiri dari empat orang: suami, istri, dan dua anak mereka. Bencana ini terjadi saat hujan deras mengguyur, menimbun rumah korban. Satu anak dewasa yang berada di bagian belakang rumah berhasil selamat. Tragedi ini menjadi kabar duka nasional dan Kemensos memastikan santunan untuk korban.",Bencana & Sosial,2025-11-02 00:00:00,"Satu Keluarga di Trenggalek Tewas Tertimbun Longsor, hanya Sisakan Satu Anak Selamat dalam Kejadian Memilukan Akibat Bencana Alam",tragedi longsor trenggalek tewas satu keluarga diri empat orang suami istri anak bencana jadi hujan deras guyur timbun rumah korban satu anak dewasa ada bagi belakang rumah hasil selamat tragedi jadi kabar duka nasional kemensos pasti santun korban,7
196,Kepala SPPG di Bekasi Diduga Lecehkan dan Aniaya Karyawati,Pihak kepolisian akan memanggil Kepala Stasiun Pengisian dan Pengangkutan Gas (SPPG) di Bekasi terkait dugaan kasus pelecehan seksual dan penganiayaan terhadap seorang karyawati. Kasus ini mencuat setelah korban membuat laporan resmi. Polisi akan mengusut tuntas dugaan kekerasan di tempat kerja tersebut. Kasus ini mendapat perhatian luas dari komunitas perlindungan perempuan dan pekerja.,Hukum & Kriminal,24 Oktober 2025,Polisi Akan Panggil Kepala SPPG di Bekasi Diduga Lecehkan-Aniaya Karyawati,pihak polisi panggil kepala stasiun isi angkut gas sppg bekas kait duga kasus leceh seksual aniaya orang karyawati kasus cuat korban buat lapor resmi polisi usut tuntas duga keras tempat kerja sebut kasus dapat perhati luas komunitas lindung perempuan kerja,8
197,PDIP Anggap Budi Arie Pilih Gerindra Ketimbang PSI: Jokowi Tak Lagi Menarik,Keputusan Budi Arie Setiadi untuk memilih Partai Gerindra sebagai pelabuhan politik barunya dibandingkan PSI memicu reaksi dari pengamat politik dan PDIP. Pengamat menilai langkah Budi Arie menunjukkan pragmatisme politik pasca-Pilpres. Ada pandangan dari internal PDIP yang menyebut hal ini bisa diartikan bahwa figur Presiden Jokowi mulai dianggap tidak lagi menarik sebagai magnet politik utama. Isu ini menambah dinamika pergeseran politik di Indonesia.,Politik,2025-11-02 00:00:00,"Budi Arie Pilih Gerindra Ketimbang PSI, Pengamat: Jokowi Tak Lagi Menarik",putus budi arie setiadi pilih partai gerindra labuh politik baru banding psi picu reaksi amat politik pdip amat nilai langkah budi arie tunjuk pragmatisme politik pasca pilpres pandang internal pdip sebut arti figur presiden jokowi mulai anggap tarik magnet politik utama isu tambah dinamika geser politik indonesia,1
